NAME,DATE,PRCP,AWND,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,State,Year,Value,High Wind,Flood,Heat,Strong Wind,Excessive Heat,Cold/Wind Chill
"YORK AIRPORT, PA US",20/1/2007,0,14.32,1321,32,21,300,280,31.1,42.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",21/1/2007,0.02,1.34,1408,26,14,210,200,10.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",22/1/2007,0.01,1.12,2359,32,24,280,260,6.9,8.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",23/1/2007,0,6.71,908,38,28,300,300,18.1,23.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",24/1/2007,0,4.03,1452,38,27,270,270,12.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",25/1/2007,0.01,10.51,2011,34,14,300,310,23,36,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",26/1/2007,0,8.28,1233,25,9,310,320,18.1,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",27/1/2007,0,0.67,153,37,13,130,150,6.9,8.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",28/1/2007,0,6.49,2245,39,25,290,290,21,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",29/1/2007,0,10.07,1543,28,12,300,300,21.9,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",30/1/2007,0.01,6.71,1310,40,12,200,200,21,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",31/1/2007,0,7.16,1527,30,15,270,290,16.1,21.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",1/2/2007,0,2.01,514,36,19,200,220,12.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/2/2007,0.1,2.24,2240,39,23,290,270,21.9,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/2/2007,0,11.18,1521,29,16,250,240,19.9,32,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/2/2007,0,10.96,2340,27,3,280,290,31.1,42.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/2/2007,0,12.3,2354,16,5,290,280,25.1,32,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/2/2007,0,6.93,1501,20,4,270,290,19.9,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/2/2007,0.02,6.93,1120,23,4,290,300,21,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/2/2007,0,9.62,1109,24,3,290,280,25.9,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/2/2007,0,8.5,1354,30,11,300,300,21,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/2/2007,0,8.28,1534,31,6,280,300,19.9,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",11/2/2007,0,3.8,1434,34,0,290,300,15,19.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",12/2/2007,0,3.36,253,41,28,260,250,12.1,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",13/2/2007,0.33,8.95,2044,34,19,90,90,18.1,23.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",14/2/2007,1.66,13.87,1645,32,14,300,300,25.9,38,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",15/2/2007,0,10.51,1555,20,12,270,280,19.9,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",16/2/2007,0,9.62,1356,25,10,270,290,18.1,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",17/2/2007,0,4.03,1115,34,14,260,240,13,19.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",18/2/2007,0,11.41,2345,31,16,290,310,23.9,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",19/2/2007,0,6.71,44,32,11,310,310,23,29.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",20/2/2007,0.05,8.05,721,49,27,200,200,18.1,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",21/2/2007,0,2.01,912,47,25,300,310,8.9,12.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",22/2/2007,0.01,9.17,2356,47,26,290,280,32,40,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",23/2/2007,0,15.88,22,34,24,290,280,32,40.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",24/2/2007,0,6.93,152,38,19,340,290,17,23.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",25/2/2007,0.36,3.36,2330,33,26,100,70,8.9,10.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",26/2/2007,0.01,1.12,212,41,30,50,50,6.9,8.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",27/2/2007,0.01,2.68,1626,42,26,290,280,10.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",28/2/2007,0,4.7,1028,43,24,310,310,16.1,19.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",1/3/2007,0.35,5.59,928,47,25,100,130,14.1,19.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/3/2007,0.83,6.04,1311,57,29,260,250,23.9,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/3/2007,0.02,6.26,1551,50,24,270,250,21,30,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/3/2007,0,13.42,1449,36,28,280,290,23.9,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/3/2007,0,17,1415,41,21,280,290,32,44.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/3/2007,0,12.97,410,27,14,310,310,29.1,38.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/3/2007,0.23,2.46,1512,24,-4,60,40,6.9,10.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/3/2007,0,2.46,1429,33,-9,310,300,12.1,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/3/2007,0,3.58,1612,39,8,150,140,10.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/3/2007,0.24,2.46,1327,61,22,200,190,12.1,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",11/3/2007,0,5.82,1443,51,26,290,350,18.1,23.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",12/3/2007,0,2.68,1020,60,21,200,90,13,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",13/3/2007,0,4.03,1338,74,33,220,210,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",14/3/2007,0,4.7,1150,80,41,240,260,18.1,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",15/3/2007,0.25,5.82,1051,64,35,340,350,19.9,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",16/3/2007,1.18,8.5,1429,35,26,20,20,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",17/3/2007,0,10.96,1657,32,20,290,280,19.9,30,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",18/3/2007,0,9.4,1222,37,17,300,300,21,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",19/3/2007,0.05,3.36,2132,50,7,200,210,14.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",20/3/2007,0,6.26,1420,52,27,350,340,15,19.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",21/3/2007,0,3.8,1156,45,22,130,150,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",22/3/2007,0.13,7.38,2034,75,37,200,220,18.1,29.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",23/3/2007,0.25,3.58,516,64,49,50,240,10.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",24/3/2007,0.28,2.68,954,50,45,120,150,8.1,12.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",25/3/2007,0,4.92,906,60,34,50,70,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",26/3/2007,0,3.58,1440,62,38,200,200,12.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",27/3/2007,0.01,5.59,1907,82,44,290,270,16.1,21.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",28/3/2007,0,5.82,1253,65,43,360,300,16.1,21.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",29/3/2007,0,4.14,1518,57,30,10,360,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",30/3/2007,0,2.46,1309,65,24,270,290,12.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",31/3/2007,0,4.92,2248,61,32,150,160,13,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",1/4/2007,0.05,5.14,2350,52,45,300,310,18.1,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/4/2007,0.02,5.59,1503,77,35,270,280,23,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/4/2007,0,6.93,1939,75,38,130,130,17,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/4/2007,0.17,8.5,1841,50,40,290,300,21,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/4/2007,0,15.43,1556,42,33,290,270,23.9,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/4/2007,0,8.95,901,42,30,280,290,19.9,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/4/2007,0,8.95,1819,39,24,280,270,25.1,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/4/2007,0,9.84,828,42,25,280,280,19.9,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/4/2007,0,5.82,1558,43,25,290,300,14.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/4/2007,0,3.8,1326,50,22,290,320,14.1,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",11/4/2007,0.17,5.82,1654,52,21,130,100,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",12/4/2007,0.65,8.5,2214,53,39,280,270,21,29.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",13/4/2007,0,12.75,1128,52,28,290,280,28,36,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",14/4/2007,0.21,3.36,1137,55,25,250,270,10.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",15/4/2007,1.61,12.08,505,44,40,100,100,23.9,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",16/4/2007,0.01,22.82,510,44,40,300,300,35.1,49,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",17/4/2007,0,12.75,1414,52,42,310,310,21.9,31.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",18/4/2007,0,5.37,137,53,38,30,350,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",19/4/2007,0,1.12,1206,56,35,60,60,8.9,13,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",20/4/2007,0,3.8,1423,68,35,350,360,13,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",21/4/2007,0,2.91,1533,74,32,280,260,10.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",22/4/2007,0,2.24,2023,79,35,290,160,10.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",23/4/2007,0,6.04,1434,84,41,210,240,16.1,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",24/4/2007,0,7.61,1144,78,51,290,300,21,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",25/4/2007,0.04,4.92,2019,68,43,50,50,13,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",26/4/2007,0.68,6.71,1708,56,48,130,120,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",27/4/2007,0.38,1.57,2150,61,48,290,290,8.9,13,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",28/4/2007,0.01,6.04,1510,65,48,270,280,14.1,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",29/4/2007,0.01,7.38,1243,73,43,290,300,18.1,29.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",30/4/2007,0,9.62,1358,80,42,280,290,25.1,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",1/5/2007,0,3.58,2135,75,43,70,60,14.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/5/2007,0,5.59,942,72,46,310,310,18.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/5/2007,0,2.01,1059,68,43,90,60,10.1,14.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/5/2007,0,1.12,943,69,37,80,80,13,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/5/2007,0,3.13,2256,71,39,20,10,16.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/5/2007,0,8.05,755,62,37,80,20,21.9,30,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/5/2007,0,2.68,1117,66,33,100,100,12.1,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/5/2007,0,0.89,1336,76,35,210,200,8.9,14.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/5/2007,0,2.01,1356,79,47,200,210,8.9,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/5/2007,0.19,3.13,1500,83,57,290,130,12.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",11/5/2007,0.01,2.01,1520,81,58,300,300,12.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",12/5/2007,0.86,4.03,1657,79,55,350,350,29.1,36.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",13/5/2007,0,5.82,901,67,41,50,50,16.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",14/5/2007,0,1.12,1318,69,35,260,200,8.1,13,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",15/5/2007,0,7.83,1524,83,57,210,200,16.1,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",16/5/2007,0.27,7.38,1429,81,53,270,290,18.1,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",17/5/2007,0,3.58,1112,67,46,310,340,14.1,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",18/5/2007,0.04,4.47,1607,61,47,50,50,8.1,10.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",19/5/2007,0.01,6.26,732,70,39,100,320,23.9,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",20/5/2007,0.01,8.5,2154,74,51,310,310,19.9,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",21/5/2007,0,4.47,1137,70,44,310,20,14.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",22/5/2007,0,0.89,1806,77,40,180,190,8.1,14.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",23/5/2007,0,2.46,1503,79,51,210,210,8.9,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",24/5/2007,0,2.24,452,82,52,200,90,8.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",25/5/2007,0,1.57,1727,87,51,250,250,8.9,17,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",26/5/2007,0,2.68,1056,87,58,340,360,12.1,21.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",27/5/2007,0.01,1.79,1814,89,57,300,310,15,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",28/5/2007,0.01,3.36,1500,83,58,300,320,14.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",29/5/2007,0,2.01,1322,81,51,310,350,10.1,21,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",30/5/2007,0,0.89,1213,87,50,290,310,8.9,14.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",31/5/2007,0,1.57,532,90,58,330,120,8.9,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",1/6/2007,1.39,3.13,2127,88,62,220,200,17,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/6/2007,0.01,0.89,1549,87,63,210,200,10.1,14.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/6/2007,0.22,6.26,1746,75,64,90,100,21,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/6/2007,0.2,5.14,1210,80,63,280,300,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/6/2007,0,8.05,1231,76,61,260,270,23.9,32,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/6/2007,0.01,5.82,1614,71,51,270,270,16.1,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/6/2007,0,1.57,1912,85,48,130,120,8.9,15,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/6/2007,0.01,3.36,1955,93,61,280,280,28,40,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/6/2007,0,6.71,1038,82,61,360,310,17,23,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/6/2007,0,1.79,1739,79,59,100,150,8.1,12.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
